"Address","Content Type","Status Code","Status","Crawl Depth","Inlinks"
"https://wsrv.nl/?url=https%3A%2F%2Fphimimg.com%2Fupload%2Fvod%2F20260329-1%2F10ddb6b894676a12063035033d20bfb6.jpg&w=3840&q=75&output=webp&af","","0","Blocked by robots.txt","3","0"
"https://wsrv.nl/?url=https%3A%2F%2Fimages.dmca.com%2FBadges%2Fdmca-badge-w250-5x1-11.png&w=256&q=75&output=webp&af","","0","Blocked by robots.txt","3","0"
"https://wsrv.nl/?url=https%3A%2F%2Fphimimg.com%2Fupload%2Fvod%2F20260404-1%2F02949ec5a3960d592e7c5b45ef159336.jpg&w=3840&q=75&output=webp&af","","0","Blocked by robots.txt","3","0"
"https://wsrv.nl/?url=https%3A%2F%2Fphimimg.com%2Fupload%2Fvod%2F20260404-1%2F4ad9c10b20f8cd89bf998c46ec79e28a.jpg&w=3840&q=75&output=webp&af","","0","Blocked by robots.txt","3","0"
"https://t.me/janencl","text/html; charset=utf-8","200","OK","3","20"
"https://wsrv.nl/?url=https%3A%2F%2Fphimimg.com%2Fupload%2Fvod%2F20260406-1%2F006c787040ecee174297dd4b6b89d7b6.jpg&w=3840&q=75&output=webp&af","","0","Blocked by robots.txt","3","0"
"https://wsrv.nl/?url=https%3A%2F%2Fphimimg.com%2Fupload%2Fvod%2F20251229-1%2Ffce1ee8b2fe5ee1e48e670ddf1417ee8.jpg&w=3840&q=75&output=webp&af","","0","Blocked by robots.txt","3","0"
"https://wsrv.nl/?url=https%3A%2F%2Fphimimg.com%2Fupload%2Fvod%2F20260412-1%2F72d491077b7c8318a01ec615fa19d67f.jpg&w=3840&q=75&output=webp&af","","0","Blocked by robots.txt","3","0"
"https://wsrv.nl/?url=https%3A%2F%2Fphimimg.com%2Fupload%2Fvod%2F20260204-1%2F1aca6f23b3cda6ce17fbfe32ada51669.jpg&w=3840&q=75&output=webp&af","","0","Blocked by robots.txt","3","0"
"https://www.dmca.com/Protection/Status.aspx","text/html; charset=utf-8","200","OK","3","20"
"https://wsrv.nl/?url=https%3A%2F%2Fphimimg.com%2Fupload%2Fvod%2F20260407-1%2Fd12a54fa0682e1b66ab4c1b0f147b0ab.jpg&w=3840&q=75&output=webp&af","","0","Blocked by robots.txt","3","0"
"https://t.me/+5S1xkPn1SCAxZWZl","text/html; charset=utf-8","200","OK","4","1"
"https://static.cloudflareinsights.com/beacon.min.js/v8c78df7c7c0f484497ecbca7046644da1771523124516","text/javascript;charset=UTF-8","200","OK","3","0"
